id,customer,position,alt_customer,alt_position,status,product_name,photo_url,is_deleted
653,Škoda,48B z.,null,null,null,null,null,false
654,Škoda,48C m.,null,null,null,null,null,false
655,Škoda,49C m.,null,null,null,null,null,false
656,Škoda,47B c.,null,null,null,null,null,false
657,Škoda,48A m.,null,null,null,null,null,false
658,Škoda,49A č.,null,null,null,null,null,false
660,Škoda,48A m.,null,null,null,null,null,false
661,Škoda,49A c.,null,null,null,null,null,false
662,Škoda,47C m.,null,null,null,null,null,false
664,Škoda,47C m.,null,null,null,null,null,false
665,Škoda,47B m.,null,null,null,null,null,false
667,Scherdel,38C b.,Witte,42C b.,null,null,null,false
668,Scherdel,38C m.,null,null,null,null,null,false
669,Witte,43C m.,null,null,null,null,null,false
670,Witte,43A z.,null,null,null,null,null,false
671,Witte,42C b.,null,null,null,null,null,false
672,Witte,43A z.,null,null,null,null,null,false
677,Witte,42C b.,null,null,null,null,null,false
678,Witte,42A c.,null,null,null,null,null,false
679,Witte,42A c.,null,null,null,null,null,false
680,Witte,43A č.,null,null,null,null,null,false
681,Witte,43A z.,null,null,null,null,null,false
682,Witte,43C m.,null,null,null,null,null,false
683,Ideal,45B h.,null,null,null,null,null,false
684,Ideal,45C h.,null,null,null,null,null,false
685,Ideal,45B c.,null,null,null,null,null,false
686,Witte,43A c.,null,null,null,null,null,false
687,Witte,43A c.,null,null,null,null,null,false
688,Ideal,45B z.,null,null,null,null,null,false
689,Ideal,45C z.,null,null,null,null,null,false
691,Witte,43C z.,null,null,null,null,null,false
694,Witte,43B z.,null,null,null,null,null,false
697,Others,44C m.,null,null,null,null,null,false
698,Witte,42C m.,null,null,null,null,null,false
699,Witte,42C m.,null,null,null,null,null,false
70,Others,44C h.,null,null,null,null,null,false
700,Witte,42A m.,null,null,null,null,null,false
701,Witte,42A b.,null,null,null,null,null,false
703,Scherdel,38C m.,null,null,null,null,null,false
706,Novares,39B m.,null,null,null,null,null,false
710,Novares,39B m.,null,null,null,null,null,false
711,Novares,39B m.,null,null,null,null,null,false
714,Novares,39C z.,null,null,null,null,null,false
715,Novares,39A b.,null,null,null,null,null,false
718,Witte,42B m.,null,null,null,null,null,false
719,Witte,42B m.,null,null,null,null,null,false
722,Witte,43B m.,null,null,null,null,null,false
723,Witte,42B m.,null,null,null,null,null,false
724,Witte,43C c.,null,null,null,null,null,false
725,Witte,43C c.,null,null,null,null,null,false
727,Witte,42B m.,null,null,null,null,null,false
728,Witte,42A b.,null,null,null,null,null,false
729,Witte,42A b.,null,null,null,null,null,false
730,Witte,43A m.,null,null,null,null,null,false
731,Witte,41C z.,null,null,null,null,null,false
732,Witte,43A z.,null,null,null,null,null,false
733,Witte,43A m.,null,null,null,null,null,false
734,Witte,43B z.,null,null,null,null,null,false
735,Witte,43C z.,null,null,null,null,null,false
736,Ideal,45B b.,null,null,null,null,null,false
737,Ideal,45B c.,null,null,null,null,null,false
738,Scherdel,37B m.,null,null,null,null,null,false
739,AFSI,37B z.,null,null,null,null,null,false
740,Škoda,47B c.,null,null,null,null,null,false
741,Škoda,49D h.,null,null,null,null,null,false
742,Škoda,47C m.,null,null,null,null,null,false
745,Witte,42A z.,null,null,null,null,null,false
746,Škoda,51C c.,null,null,null,null,null,false
747,Škoda,52A c.,null,null,null,null,null,false
748,Škoda,49B m.,null,null,null,null,null,false
749,Škoda,49B m.,null,null,null,null,null,false
750,Škoda,51G c.,null,null,null,null,null,false
751,Škoda,52C z.,null,null,,null,null,false
752,Škoda,52B z.,null,null,null,null,null,false
753,Škoda,52C z.,null,null,,null,null,false
754,Škoda,51A c.,null,null,null,null,null,false
755,Škoda,50A z.,null,null,null,null,null,false
756,Škoda,50A z.,null,null,null,null,null,false
757,Škoda,50B z.,null,null,null,null,null,false
758,Others,44B m.,null,null,null,null,null,false
76,Others,44C m.,null,null,null,null,null,false
761,Škoda,48A c.,null,null,null,null,null,false
762,Škoda,47C b.,null,null,null,null,null,false
763,Scherdel,38C b.,null,null,null,null,null,false
764,Škoda,48B b.,null,null,null,null,null,false
765,Škoda,48B m.,null,null,null,null,null,false
766,Škoda,49A m.,null,null,null,null,null,false
767,Scherdel,37B m.,null,null,null,null,null,false
768,Scherdel,37A b.,null,null,null,null,null,false
769,Scherdel,38A c.,null,null,null,null,null,false
770,Scherdel,38B c.,null,null,null,null,null,false
771,Scherdel,38B c.,null,null,null,null,null,false
772,Scherdel,38C c.,null,null,null,null,null,false
773,Scherdel,38C c.,null,null,null,null,null,false
776,Scherdel,38A b.,null,null,null,null,null,false
78,Ideal,45C b.,null,null,null,null,null,false
786,Others,38A c.,null,null,null,null,null,false
787,Others,37B c.,null,null,null,null,null,false
788,Scherdel,38C c.,null,null,null,null,null,false
795,Witte,44A m.,null,null,null,null,null,false
799,Witte,44A m.,null,null,null,null,null,false
80,Ideal,45B m.,null,null,null,null,null,false
800,Witte,44B m.,null,null,null,null,null,false
803,Witte,43B h.,null,null,null,null,null,false
804,Witte,43A h.,null,null,null,null,null,false
805,Witte,43C h.,null,null,null,null,null,false
806,Witte,43A h.,null,null,null,null,null,false
807,AFSI,36B z.,null,null,null,null,null,false
808,Witte,43C b.,null,null,null,null,null,false
809,Witte,43A h.,null,null,null,null,null,false
81,Ideal,44B m.,null,null,null,null,null,false
810,Scherdel,38A m.,null,null,null,null,null,false
811,Witte,44A b.,null,null,null,null,null,false
812,Witte,44B b.,null,null,null,null,null,false
813,Scherdel,38C c.,null,null,null,null,null,false
814,Others,44A z.,null,null,null,null,null,false
815,Witte,42C z.,null,null,null,null,null,false
816,Škoda,50C b.,null,null,null,null,null,false
817,Škoda,50C b.,null,null,null,null,null,false
818,Škoda,50C b.,null,null,null,null,null,false
819,Škoda,47C z.,null,null,null,null,null,false
82,Ideal,44B m.,null,null,null,null,null,false
820,Škoda,49D m.,null,null,null,null,null,false
821,Škoda,47C z.,null,null,null,null,null,false
822,Škoda,51A b.,null,null,null,null,null,false
823,Škoda,50C c.,null,null,null,null,null,false
824,Škoda,50B c.,null,null,null,null,null,false
825,Škoda,50C c.,null,null,null,null,null,false
826,Witte,42C z.,null,null,null,null,null,false
828,Others,44B z.,null,null,null,null,null,false
829,Witte,43C h.,null,null,null,null,null,false
83,Ideal,45B c.,null,null,null,null,null,false
830,Witte,41C z.,null,null,null,null,null,false
831,Witte,41C z.,null,null,null,null,null,false
832,Others,51D č.,null,null,,null,null,false
833,Witte,44A h.,null,null,null,null,null,false
834,Witte,44C c.,null,null,null,null,null,false
835,Others,49D c.,null,null,null,null,null,false
836,Others,49E c.,null,null,null,null,null,false
837,Others,37B m.,null,null,null,null,null,false
839,Others,45D č.,null,null,null,null,null,false
840,Others,47E z.,null,null,null,null,null,false
841,Others,45D č.,null,null,null,null,null,false
842,Others,45D č.,null,null,null,null,null,false
843,Others,47E z.,null,null,null,null,null,false
844,Others,39A z.,null,null,,null,null,false
845,Witte,41A z.,null,null,null,null,null,false
846,Witte,43D b.,null,null,null,null,null,false
847,Others,45D z.,null,null,null,null,null,false
848,Others,37A m.,null,null,null,null,null,false
849,Witte,41C m.,null,null,null,null,null,false
850,Witte,44A č.,null,null,null,null,null,false
851,Others,44B z.,null,null,null,null,null,false
853,Novares,36C c.,null,null,null,null,null,false
854,Others,45E z.,null,null,,null,null,false
857,Witte,41C c.,null,null,null,null,null,false
858,Novares,39A m.,null,null,null,null,null,false
859,Novares,39A m.,null,null,null,null,null,false
860,Others,45E č.,null,null,null,null,null,false
861,Others,45E č.,null,null,null,null,null,false
862,Novares,39C z.,null,null,null,null,null,false
864,Witte,43D b.,null,null,null,null,null,false
865,Witte,44C c.,null,null,null,null,null,false
866,Witte,44C c.,null,null,null,null,null,false
867,Witte,42C b.,null,null,null,null,null,false
869,Witte,41C z.,null,null,null,null,null,false
870,Witte,44B c.,null,null,null,null,null,false
871,Witte,44A h.,null,null,null,null,null,false
874,Witte,43E m.,null,null,null,null,null,false
875,Witte,43E m.,null,null,null,null,null,false
876,Others,38A m.,null,null,null,null,null,false
877,Others,45D m.,null,null,null,null,null,false
878,Others,45D m.,null,null,null,null,null,false
879,Others,47D z.,null,null,null,null,null,false
880,Others,45D m.,null,null,null,null,null,false
881,Others,45D z.,null,null,null,null,null,false
882,Others,47D z.,null,null,null,null,null,false
884,Novares,39C z.,null,null,null,null,null,false
886,Others,Mezisklad,null,null,null,null,null,false
887,Others,Mezisklad,null,null,null,null,null,false
889,Novares,49E z.,null,null,null,null,null,false
893,Novares,49C z.,null,null,null,null,null,false
894,Novares,39H z.,null,null,null,null,null,false
895,Novares,39H z.,null,null,null,null,null,false
897,Witte,42C b.,null,null,null,null,null,false
898,Others,50C z.,null,null,null,null,null,false
899,Others,36C b.,null,null,null,null,null,false
900,Others,40C z.,null,null,null,null,null,false
901,Others,36C b.,null,null,null,null,null,false
902,Others,40C z.,null,null,null,null,null,false
903,Witte,43D z.,null,null,null,null,null,false
904,Witte,43D z.,null,null,null,null,null,false
905,Witte,43E č.,null,null,null,null,null,false
906,Witte,43E č.,null,null,null,null,null,false
907,Witte,43E c.,null,null,null,null,null,false
908,Witte,43D č.,null,null,null,null,null,false
909,Witte,42A z.,null,null,null,null,null,false
914,Others,37A m.,null,null,,null,null,false
915,Scherdel,38C b.,null,null,null,null,null,false
916,Novares,36C m.,null,null,null,null,null,false
917,Novares,36C m.,null,null,null,null,null,false
918,Witte,41B z.,null,null,null,null,null,false
919,Witte,43D h.,null,null,null,null,null,false
921,Witte,43D m.,null,null,null,null,null,false
922,Others,50C z.,null,null,null,null,null,false
923,Witte,36A z.,null,null,null,null,null,false
924,Witte,43D z.,null,null,null,null,null,false
926,Others,45E z.,null,null,null,null,null,false
927,Witte,43D m.,null,null,null,null,null,false
928,Witte,42A b.,null,null,null,null,null,false
929,Witte,47D m.,null,null,null,null,null,false
930,Witte,47D m.,null,null,null,null,null,false
931,Witte,47D m.,null,null,null,null,null,false
932,Others,47E m.,null,null,null,null,null,false
933,Witte,42C h.,null,null,null,null,null,false
934,Witte,42C h.,null,null,null,null,null,false
935,Witte,41A z.,null,null,null,null,null,false
936,Witte,41C h.,null,null,null,null,null,false
937,Witte,41B z.,null,null,null,null,null,false
938,Witte,47D č.,null,null,null,null,null,false
939,Witte,47D č.,null,null,null,null,null,false
940,Witte,43D h.,null,null,null,null,null,false
941,Novares,40C č.,null,null,null,null,null,false
942,Novares,36C m.,null,null,null,null,null,false
944,Novares,40C č.,null,null,null,null,null,false
945,Novares,40C m.,null,null,null,null,null,false
946,Novares,40C m.,null,null,null,null,null,false
947,Novares,40C m.,null,null,null,null,null,false
948,Škoda,47G h.,null,null,null,null,null,false
949,Others,45E b.,null,null,null,null,null,false
950,Others,45E c.,null,null,null,null,null,false
951,Witte,42B b.,null,null,null,null,null,false
952,Witte,42B b.,null,null,null,null,null,false
953,Witte,36B m.,null,null,null,null,null,false
954,Witte,36B m.,null,null,null,null,null,false
955,Witte,36B m.,null,null,null,null,null,false
956,Others,45F c.,null,null,null,null,null,false
957,Others,45G c.,null,null,null,null,null,false
958,Witte,51D z.,null,null,null,null,null,false
959,Novares,40C z.,null,null,null,null,null,false
960,Novares,40C z.,null,null,null,null,null,false
961,Škoda,48A c.,null,null,null,null,null,false
962,Škoda,48A č.,null,null,null,null,null,false
