id,customer,position,status,is_deleted,product_name
24,Škoda,51C z.,null,false,null
289,Witte,41B b.,null,false,null
476,Novares,40B h.,null,false,null
479,Novares,40B h.,null,false,null
480,Novares,40B z.,null,false,null
616,Adient,47C h.,null,false,null
1002,Others,48B c.,null,false,null
825,Škoda,50C c.,null,false,null
859,Novares,39A m.,null,false,null
837,Others,37B m.,null,false,null
844,Others,Mezisklad,null,false,null
848,Scherdel,37A m.,null,false,null
818,Škoda,50C b.,null,false,null
811,Witte,44A b.,null,false,null
812,Witte,44B b.,null,false,null
813,Scherdel,38C c.,null,false,null
819,Škoda,49D m.,null,false,null
82,Ideal,44D m.,null,false,null
820,Škoda,47C z.,null,false,null
821,Škoda,51A b.,null,false,null
822,Škoda,50C c.,null,false,null
823,Škoda,50C c.,null,false,null
824,Škoda,50B c.,null,false,null
826,Witte,43C b.,null,false,null
829,Witte,43C b.,null,false,null
83,Ideal,45C m.,null,false,null
830,Witte,41C b.,null,false,null
831,Witte,41C b.,null,false,null
832,Others,51D c.,,false,null
833,Witte,44A c.,null,false,null
834,Witte,44A c.,null,false,null
836,Others,49E c.,null,false,null
847,Others,45D z.,null,false,null
849,Witte,41C z.,null,false,null
850,Witte,43C b.,null,false,null
851,Others,44B z.,null,false,null
853,Novares,36C z.,null,false,null
854,Others,45E z.,,false,null
857,Witte,41C c.,null,false,null
864,Witte,43D b.,null,false,null
865,Witte,43D b.,null,false,null
866,Witte,44C c.,null,false,null
867,Witte,42C b.,null,false,null
869,Witte,42C b.,null,false,null
870,Witte,44B c.,null,false,null
871,Witte,44A h.,null,false,null
874,Witte,43E m.,null,false,null
