Číslo formy,Název výroby,Zákazník,Pozice,Stav,Původní pozice,Návodka (URL),Fotografie formy,Smazáno
440,null,Others,41A c.,null,null,null,null,false
441,null,Witte,41B b.,null,null,null,null,false
442,null,Others,44C z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/442_BonBlock_dil_A_vana_seda_-_Altech_PP_GF30.pdf"", ""title"" : ""Šedá""}]",null,false
443,null,Others,44C z.,null,null,null,null,false
444,null,Others,44C b.,null,null,null,null,false
445,null,Others,44C b.,null,null,null,null,false
446,null,Witte,41A c.,null,null,null,null,false
452,null,Novares,40A b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/452_ZT_IT_FS_Aussen_RL_Blende_W26907_00452.pdf"", ""title"" : ""Návodka""}]",null,false
453,null,Novares,40A b.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/453_ZT_IT_FS_Aussen_LL_Blende_W26902_00453.pdf"", ""title"" : ""Návodka""}]",null,false
454,null,Novares,40A h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/454_Drehachse_Schminksp_W20426_00454.pdf"", ""title"" : ""Návodka""}]",null,false
455,null,Novares,40A h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/455_Schieber_Natur_W20425_00455.pdf"", ""title"" : ""Návodka""}, {""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/455_Schieber_Schwarz_W20425_00455.pdf"", ""title"" : ""Navodka_alt""}]",null,false
456,null,Novares,40A h.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/456_Reibelement_Spannhulse_W20428_00456.pdf"", ""title"" : ""Návodka""}]",null,false
457,null,Novares,40B z.,null,null,"[{""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/457_Deckel_natur_Chrom_W20460_00457.pdf"", ""title"" : ""Návodka""}, {""url"" : ""https://qjoovhagucdcaebgdmbx.supabase.co/storage/v1/object/public/mold-photos/navodky/457_Deckel_Schwarz_Chrom_W20460_00457.pdf"", ""title"" : ""Navodka_alt""}]",null,false
